,name,id,link,puesto,contrato,jornada,localizacion,date,company,min_salario,max_salario
56,Director Técnico - TIC,rf-31b68fce4a6aar649arc,https://www.tecnoempleo.com/director-tecnico-tic-zaragoza/pmp/rf-31b68fce4a6aar649arc,Jefe de Proyecto,Contrato Indefinido,Jornada completa,Zaragoza,12/11/2018,Michael Page,,
57,Analista Programador C y C++,rf-d41dq8cd9o8f0l0b20l4,https://www.tecnoempleo.com/analista-programador-c-c-barcelona/python-c-c-linux-debian-suse-kernel-dri/rf-d41dq8cd9o8f0l0b20l4,Analista Programador - Programador,Contrato Indefinido,Jornada completa,Barcelona,12/11/2018,Sopra Steria,,
58,Programador ASP.NET C# MVC,rf-1820z4362s4190c0a1r3,https://www.tecnoempleo.com/programador-asp-net-c-mvc-zaragoza/c-mvc-net/rf-1820z4362s4190c0a1r3,Analista Programador - Programador,Contrato Indefinido,Jornada completa,Zaragoza,12/11/2018,Diaple,,
59,PHP Backend Developer Empleo Extranjero,rf-1b65w1127v827c9bb7b8,https://www.tecnoempleo.com/php-backend-developer-overijssel/php-laravel-api-rest/rf-1b65w1127v827c9bb7b8,Desarrollador Web - Programador - Técnico Software,Contrato Indefinido,Jornada completa,Enschede,12/11/2018,Óscala,45.000,76.000
60,Senior Android Developer,rf-5b72v14f4i6c9nf150f0,https://www.tecnoempleo.com/senior-android-developer-barcelona/android/rf-5b72v14f4i6c9nf150f0,Programador - Tester,Contrato Indefinido,Jornada completa,Barcelona,12/11/2018,Hps Gesundheitscloud,,
61,Django/Python Developer,rf-3254f8c99q0f711f832c,https://www.tecnoempleo.com/django-python-developer-madrid/python-django-postgresql-linux-git-cloud-ht/rf-3254f8c99q0f711f832c,Programador,,Jornada completa,Las Rozas De Madrid,12/11/2018,Q4i,30.000,33.000
62,Ingeniero de Ciberseguridad,rf-4f8842499bbd2w0b6bkd,https://www.tecnoempleo.com/ingeniero-de-ciberseguridad-madrid/ciberseguridad/rf-4f8842499bbd2w0b6bkd,Arquitecto TIC,Contrato Indefinido,Jornada completa,Tres Cantos,12/11/2018,GMV,,
63,Programador Java,rf-dc34m2c95a11fa2866n1,https://www.tecnoempleo.com/programador-java-madrid/java/rf-dc34m2c95a11fa2866n1,Programador,Contrato Indefinido,Jornada completa,Madrid,12/11/2018,Alcorce Telecomunicaciones,,
64,Administrador Sistemas Linux AWS,rf-d834090a8k59av9f47gc,https://www.tecnoempleo.com/administrador-sistemas-linux-aws-madrid/aws-linux-php-git-jenkins-laravel-/rf-d834090a8k59av9f47gc,Administrador - Arquitecto TIC - Técnico de Sistemas,Contrato Indefinido,Jornada completa,Leganés,12/11/2018,Quambs,,
65,Desarrollador Android,rf-45abqd683b00dncc14md,https://www.tecnoempleo.com/desarrollador-android-madrid/android-intellij-gradle-android-sdk-kotlin-li/rf-45abqd683b00dncc14md,Desarrollador Web - Programador,,Jornada completa,Madrid,12/11/2018,EIKOS Technology & Consulting,27.000,33.000
